,index,model_names,ratings,price,imgURL,battery,storage,ram,processor,android_version
0,0,"REDMI 10 Power (Sporty Orange, 128 GB)",4.2,13500,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/g/k/-original-imageyuud3bey9hh.jpeg?q=70,6000,128,8,not mentioned,13
1,1,"REDMI 10 Power (Power Black, 128 GB)",4.2,12840,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/y/b/-original-imageftfzx8gfkys.jpeg?q=70,6000,128,8,not mentioned,13
2,2,"Redmi 9A Sport (Metallic Blue, 32 GB)",4.1,7520,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/z/h/-original-imag7gy6tzuz3hk8.jpeg?q=70,5000,32,2,not mentioned,10
3,3,"Redmi 9A Sport (Coral Green, 32 GB)",4.2,8450,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/i/8/-original-imag7chxqqu7h5hs.jpeg?q=70,5000,32,3,not mentioned,10
4,4,"Xiaomi 11Lite NE (Vinyl Black, 128 GB)",4.2,21644,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/u/4/-original-imag7f6chqmz5hzd.jpeg?q=70,4250,128,6,Snapdragon778G,11
5,5,"Redmi 10 Prime (Phantom Black, 64 GB)",4.2,11990,https://rukminim2.flixcart.com/image/312/312/ktbu6q80/mobile/s/j/e/10-prime-10-redmi-original-imag6pbabybzmrhn.jpeg?q=70,6000,64,4,not mentioned,11
6,6,"Mi 11 Lite (Jazz Blue, 128 GB)",4.2,17499,https://rukminim2.flixcart.com/image/312/312/kq6yefk0/mobile/i/w/m/11-lite-m2101k9ai-mi-original-imag496gkgqjrvvg.jpeg?q=70,4250,128,8,Snapdragon732G,11
7,7,"Mi 11 Lite (Vinyl Black, 128 GB)",4.2,17499,https://rukminim2.flixcart.com/image/312/312/kq6yefk0/mobile/b/2/f/11-lite-m2101k9ai-mi-original-imag496egxryygvz.jpeg?q=70,4250,128,8,Snapdragon732G,11
8,8,"Redmi 9A Sport (Coral Green, 32 GB)",4.1,7290,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/i/8/-original-imag7chxqqu7h5hs.jpeg?q=70,5000,32,2,not mentioned,10
9,9,"Redmi 9 (Carbon Black, 64 GB)",4.2,10480,https://rukminim2.flixcart.com/image/312/312/kex5ci80/mobile/x/w/r/mi-redmi-9-m2006c3mii-original-imafvhqqcyp9z5f4.jpeg?q=70,5000,64,4,Heilo35P,10
10,10,"Redmi 9A (Nature Green, 32 GB)",4.3,9499,https://rukminim2.flixcart.com/image/312/312/kesv0y80/mobile/k/h/9/mi-redmi-9a-b08696xb4b-original-imafve7pte7e4zmp.jpeg?q=70,5000,32,3,Heilo25P,10
