,name,ratings,price,imgURL,storage_ram,camera,oS_Processor,display,network,battery
0,"('OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)', None)","('4.4', None)","('₹17,955', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/w/k/-original-imagg2abzhxjckxu.jpeg?q=70', None)","('Internal Storage128 GBRAM6 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera64MP Rear Camera', None)","('Operating SystemAndroid 10Processor CoreOcta CorePrimary Clock Speed2.2 GHz', None)","('Display Size16.74 cm (6.59 inch)Resolution2412 x 1080 Pixels', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity5000 mAh', None)"
1,"('OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)', None)","('4.4', None)","('₹17,882', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/p/8/-original-imagg2a4rmk94gay.jpeg?q=70', None)","('Internal Storage128 GBRAM6 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera64MP Rear Camera', None)","('Operating SystemAndroid 13Processor CoreOcta CorePrimary Clock Speed2.2 GHz', None)","('Display Size16.74 cm (6.59 inch)Resolution2412 x 1080 Pixels', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity5000 mAh', None)"
2,"('OnePlus 11R 5G (Sonic Black, 128 GB)', None)","('4.5', None)","('₹39,594', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/x/a/11r-5g-5011102525-oneplus-original-imagn3afeqfr6acy.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GB', None)","('Primary Camera50MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Oxygen OxygenOS based on Android 13Processor CoreOcta CorePrimary Clock Speed3.2 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2772x1240', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity5000 mAh', None)"
3,"('OnePlus Nord 2T 5G (Gray Shadow, 128 GB)', None)","('4.4', None)","('₹28,729', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/a/v/-original-imagfx6b9shazw8u.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera50MP Rear Camera', None)","('Operating SystemAndroid 13Processor CoreOcta CorePrimary Clock Speed2.4 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2400 x 1080 Pixels', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity4500 mAh', None)"
4,"('OnePlus 11R 5G (Galactic Silver, 128 GB)', None)","('4.5', None)","('₹39,843', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/w/l/11r-5g-5011102527-oneplus-original-imagn3bq8t4ja5rx.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GB', None)","('Primary Camera50MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid OxygenOS based on Android 13Processor CoreOcta CorePrimary Clock Speed3.2 MHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2772x1240', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity5000 mAh', None)"
5,"('OnePlus 11R 5G (Sonic Black, 256 GB)', None)","('4.5', None)","('₹44,729', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/x/a/11r-5g-5011102525-oneplus-original-imagn3afeqfr6acy.jpeg?q=70', None)","('Internal Storage256 GBRAM16 GB', None)","('Primary Camera50MP Rear CameraDual Camera LensPrimary & Secondary Camera', None)","('Operating SystemAndroid Oxygen OxygenOS based on Android 13Processor CoreOcta CorePrimary Clock Speed3.2 MHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2772x1240', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity5000 mAh', None)"
6,"('OnePlus 11R 5G (Galactic Silver, 256 GB)', None)","('4.5', None)","('₹44,565', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/w/l/11r-5g-5011102527-oneplus-original-imagn3bq8t4ja5rx.jpeg?q=70', None)","('Internal Storage256 GBRAM16 GB', None)","('Primary Camera50MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid OxygenOS based on Android 13Processor CoreOcta CorePrimary Clock Speed3.2 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2772x1240', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity5000 mAh', None)"
7,"('OnePlus 10R (Sierra Black, 128 GB)', None)","('4.3', None)","('₹30,869', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/q/v/-original-imageyq5akea25we.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera50MP Rear Camera', None)","('Operating SystemAndroid 12Processor CoreOcta CorePrimary Clock Speed2.2 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2400 x 1080 pixel', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity5000 mAh', None)"
8,"('OnePlus Nord 2T 5G (Gray Shadow, 128 GB)', None)","('4.4', None)","('₹28,480', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/a/v/-original-imagfx6b9shazw8u.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera50MP Rear Camera', None)","('Operating SystemAndroid 13Processor CoreOcta CorePrimary Clock Speed2.4 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2400 x 1080 Pixels', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity4500 mAh', None)"
9,"('OnePlus Nord 2T 5G (Jade Fog, 128 GB)', None)","('4.4', None)","('₹28,290', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/w/s/t/-original-imagfx6hzsqu438h.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera50MP Rear Camera', None)","('Operating SystemAndroid 13Processor CoreDeca CorePrimary Clock Speed2.4 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2400 x 1080 Pixels', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity4500 mAh', None)"
