name,ratings,price,imgURL,storage_ram,camera,oS_Processor,display,network,battery
"vivo T2x 5G (Aurora Gold, 128 GB)",4.3,"₹15,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70,Internal Storage128 GBRAM8 GBMemory Card Slot TypeHybrid SlotCall Log MemoryYes,"Operating SystemAndroid 13Processor TypeDimensity 6020Processor CoreOcta CorePrimary Clock Speed2.2 GHzOperating Frequency3G WCDMA: B1/B5/B8, 4G FDD LTE: B1/B3/B5/B8, 4G TDD LTE: B38/B40/B41 (120M), 5G: n1/n3/n8/n28A/n77/n78","Primary Camera AvailableYesPrimary Camera50MP + 2MPPrimary Camera FeaturesDual Camera Setup: 50MP (f/1.8 Aperture) + 2MP (f/2.4 Aperture), Camera Features: Photo, Night, Portrait, Video, 50 MP, Panorama, Live Photo, Slo-Mo, Timelapse, Pro, DocumentsSecondary Camera AvailableYesSecondary Camera8MP Front CameraSecondary Camera Features8MP Front Camera Setup: (f/2.0 Aperture)FlashRear FlashlightFull HD RecordingYesVideo RecordingYesDual Camera LensPrimary Camera",Display Size16.71 cm (6.58 inch)Resolution2408 x 1080 PixelsResolution TypeFull HD+Display TypeFull HD+ LCD Display,"Network Type5G, 4G, 3GSupported Networks5G, 4G LTE, WCDMAInternet Connectivity5G, 4G, 3G, Wi-Fi3GYesPre-installed BrowserYesMicro USB VersionUSB (Type C)Bluetooth SupportYesBluetooth Versionv5.1Wi-FiYesWi-Fi VersionSupports 2.4 GHz and 5 GHz Dual BandWi-Fi HotspotYesNFCNoUSB ConnectivityYesGPS SupportYes",Battery Capacity5000 mAhBattery TypeLithium
"vivo T2x 5G (Glimmer Black, 128 GB)",4.3,"₹15,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70,Internal Storage128 GBRAM8 GBMemory Card Slot TypeHybrid SlotCall Log MemoryYes,"Operating SystemAndroid 13Processor TypeDimensity 6020Processor CoreOcta CorePrimary Clock Speed2.2 GHzOperating Frequency3G WCDMA: B1/B5/B8, 4G FDD LTE: B1/B3/B5/B8, 4G TDD LTE: B38/B40/B41 (120M), 5G: n1/n3/n8/n28A/n77/n78","Primary Camera AvailableYesPrimary Camera50MP + 2MPPrimary Camera FeaturesDual Camera Setup: 50MP (f/1.8 Aperture) + 2MP (f/2.4 Aperture), Camera Features: Photo, Night, Portrait, Video, 50 MP, Panorama, Live Photo, Slo-Mo, Timelapse, Pro, DocumentsSecondary Camera AvailableYesSecondary Camera8MP Front CameraSecondary Camera Features8MP Front Camera Setup: (f/2.0 Aperture)FlashRear FlashlightFull HD RecordingYesVideo RecordingYesDual Camera LensPrimary Camera",Display Size16.71 cm (6.58 inch)Resolution2408 x 1080 PixelsResolution TypeFull HD+Display TypeFull HD+ LCD Display,"Network Type5G, 4G, 3GSupported Networks5G, 4G LTE, WCDMAInternet Connectivity5G, 4G, 3G, Wi-Fi3GYesPre-installed BrowserYesMicro USB VersionUSB (Type C)Bluetooth SupportYesBluetooth Versionv5.1Wi-FiYesWi-Fi VersionSupports 2.4 GHz and 5 GHz Dual BandWi-Fi HotspotYesNFCNoUSB ConnectivityYesGPS SupportYes",Battery Capacity5000 mAhBattery TypeLithium
"vivo T2x 5G (Marine Blue, 128 GB)",4.3,"₹15,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70,Internal Storage128 GBRAM8 GBMemory Card Slot TypeHybrid SlotCall Log MemoryYes,"Operating SystemAndroid 13Processor TypeDimensity 6020Processor CoreOcta CorePrimary Clock Speed2.2 GHzOperating Frequency3G WCDMA: B1/B5/B8, 4G FDD LTE: B1/B3/B5/B8, 4G TDD LTE: B38/B40/B41 (120M), 5G: n1/n3/n8/n28A/n77/n78","Primary Camera AvailableYesPrimary Camera50MP + 2MPPrimary Camera FeaturesDual Camera Setup: 50MP (f/1.8 Aperture) + 2MP (f/2.4 Aperture), Camera Features: Photo, Night, Portrait, Video, 50 MP, Panorama, Live Photo, Slo-Mo, Timelapse, Pro, DocumentsSecondary Camera AvailableYesSecondary Camera8MP Front CameraSecondary Camera Features8MP Front Camera Setup: (f/2.0 Aperture)FlashRear FlashlightFull HD RecordingYesVideo RecordingYesDual Camera LensPrimary Camera",Display Size16.71 cm (6.58 inch)Resolution2408 x 1080 PixelsResolution TypeFull HD+Display TypeFull HD+ LCD Display,"Network Type5G, 4G, 3GSupported Networks5G, 4G LTE, WCDMAInternet Connectivity5G, 4G, 3G, Wi-Fi3GYesPre-installed BrowserYesMicro USB VersionUSB (Type C)Bluetooth SupportYesBluetooth Versionv5.1Wi-FiYesWi-Fi VersionSupports 2.4 GHz and 5 GHz Dual BandWi-Fi HotspotYesNFCNoUSB ConnectivityYesGPS SupportYes",Battery Capacity5000 mAhBattery TypeLithium
"vivo T2x 5G (Marine Blue, 128 GB)",4.4,"₹13,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70,Internal Storage128 GBRAM6 GBMemory Card Slot TypeHybrid SlotCall Log MemoryYes,"Operating SystemAndroid 13Processor TypeDimensity 6020Processor CoreOcta CorePrimary Clock Speed2.2 GHzOperating Frequency3G WCDMA: B1/B5/B8, 4G FDD LTE: B1/B3/B5/B8, 4G TDD LTE: B38/B40/B41 (120M), 5G: n1/n3/n8/n28A/n77/n78","Primary Camera AvailableYesPrimary Camera50MP + 2MPPrimary Camera FeaturesDual Camera Setup: 50MP (f/1.8 Aperture) + 2MP (f/2.4 Aperture), Camera Features: Photo, Night, Portrait, Video, 50 MP, Panorama, Live Photo, Slo-Mo, Timelapse, Pro, DocumentsSecondary Camera AvailableYesSecondary Camera8MP Front CameraSecondary Camera Features8MP Front Camera Setup: (f/2.0 Aperture)FlashRear FlashlightFull HD RecordingYesVideo RecordingYesDual Camera LensPrimary Camera",Display Size16.71 cm (6.58 inch)Resolution2408 x 1080 PixelsResolution TypeFull HD+Display TypeFull HD+ LCD Display,"Network Type5G, 4G, 3GSupported Networks5G, 4G LTE, WCDMAInternet Connectivity5G, 4G, 3G, Wi-Fi3GYesPre-installed BrowserYesMicro USB VersionUSB (Type C)Bluetooth SupportYesBluetooth Versionv5.1Wi-FiYesWi-Fi VersionSupports 2.4 GHz and 5 GHz Dual BandWi-Fi HotspotYesNFCNoUSB ConnectivityYesGPS SupportYes",Battery Capacity5000 mAhBattery TypeLithium
"vivo T2x 5G (Glimmer Black, 128 GB)",4.4,"₹13,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70,Internal Storage128 GBRAM6 GBMemory Card Slot TypeHybrid SlotCall Log MemoryYes,"Operating SystemAndroid 13Processor TypeDimensity 6020Processor CoreOcta CorePrimary Clock Speed2.2 GHzOperating Frequency3G WCDMA: B1/B5/B8, 4G FDD LTE: B1/B3/B5/B8, 4G TDD LTE: B38/B40/B41 (120M), 5G: n1/n3/n8/n28A/n77/n78","Primary Camera AvailableYesPrimary Camera50MP + 2MPPrimary Camera FeaturesDual Camera Setup: 50MP (f/1.8 Aperture) + 2MP (f/2.4 Aperture), Camera Features: Photo, Night, Portrait, Video, 50 MP, Panorama, Live Photo, Slo-Mo, Timelapse, Pro, DocumentsSecondary Camera AvailableYesSecondary Camera8MP Front CameraSecondary Camera Features8MP Front Camera Setup: (f/2.0 Aperture)FlashRear FlashlightFull HD RecordingYesVideo RecordingYesDual Camera LensPrimary Camera",Display Size16.71 cm (6.58 inch)Resolution2408 x 1080 PixelsResolution TypeFull HD+Display TypeFull HD+ LCD Display,"Network Type5G, 4G, 3GSupported Networks5G, 4G LTE, WCDMAInternet Connectivity5G, 4G, 3G, Wi-Fi3GYesPre-installed BrowserYesMicro USB VersionUSB (Type C)Bluetooth SupportYesBluetooth Versionv5.1Wi-FiYesWi-Fi VersionSupports 2.4 GHz and 5 GHz Dual BandWi-Fi HotspotYesNFCNoUSB ConnectivityYesGPS SupportYes",Battery Capacity5000 mAhBattery TypeLithium
"vivo T2x 5G (Aurora Gold, 128 GB)",4.4,"₹13,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70,Internal Storage128 GBRAM6 GBMemory Card Slot TypeHybrid SlotCall Log MemoryYes,"Operating SystemAndroid 13Processor TypeDimensity 6020Processor CoreOcta CorePrimary Clock Speed2.2 GHzOperating Frequency3G WCDMA: B1/B5/B8, 4G FDD LTE: B1/B3/B5/B8, 4G TDD LTE: B38/B40/B41 (120M), 5G: n1/n3/n8/n28A/n77/n78","Primary Camera AvailableYesPrimary Camera50MP + 2MPPrimary Camera FeaturesDual Camera Setup: 50MP (f/1.8 Aperture) + 2MP (f/2.4 Aperture), Camera Features: Photo, Night, Portrait, Video, 50 MP, Panorama, Live Photo, Slo-Mo, Timelapse, Pro, DocumentsSecondary Camera AvailableYesSecondary Camera8MP Front CameraSecondary Camera Features8MP Front Camera Setup: (f/2.0 Aperture)FlashRear FlashlightFull HD RecordingYesVideo RecordingYesDual Camera LensPrimary Camera",Display Size16.71 cm (6.58 inch)Resolution2408 x 1080 PixelsResolution TypeFull HD+Display TypeFull HD+ LCD Display,"Network Type5G, 4G, 3GSupported Networks5G, 4G LTE, WCDMAInternet Connectivity5G, 4G, 3G, Wi-Fi3GYesPre-installed BrowserYesMicro USB VersionUSB (Type C)Bluetooth SupportYesBluetooth Versionv5.1Wi-FiYesWi-Fi VersionSupports 2.4 GHz and 5 GHz Dual BandWi-Fi HotspotYesNFCNoUSB ConnectivityYesGPS SupportYes",Battery Capacity5000 mAhBattery TypeLithium
"vivo T2x 5G (Marine Blue, 128 GB)",4.4,"₹12,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70,Internal Storage128 GBRAM4 GBMemory Card Slot TypeHybrid SlotCall Log MemoryYes,"Operating SystemAndroid 13Processor TypeDimensity 6020Processor CoreOcta CorePrimary Clock Speed2.2 GHzOperating Frequency3G WCDMA: B1/B5/B8, 4G FDD LTE: B1/B3/B5/B8, 4G TDD LTE: B38/B40/B41 (120M), 5G: n1/n3/n8/n28A/n77/n78","Primary Camera AvailableYesPrimary Camera50MP + 2MPPrimary Camera FeaturesDual Camera Setup: 50MP (f/1.8 Aperture) + 2MP (f/2.4 Aperture), Camera Features: Photo, Night, Portrait, Video, 50 MP, Panorama, Live Photo, Slo-Mo, Timelapse, Pro, DocumentsSecondary Camera AvailableYesSecondary Camera8MP Front CameraSecondary Camera Features8MP Front Camera Setup: (f/2.0 Aperture)FlashRear FlashlightFull HD RecordingYesVideo RecordingYesDual Camera LensPrimary Camera",Display Size16.71 cm (6.58 inch)Resolution2408 x 1080 PixelsResolution TypeFull HD+Display TypeFull HD+ LCD Display,"Network Type5G, 4G, 3GSupported Networks5G, 4G LTE, WCDMAInternet Connectivity5G, 4G, 3G, Wi-Fi3GYesPre-installed BrowserYesMicro USB VersionUSB (Type C)Bluetooth SupportYesBluetooth Versionv5.1Wi-FiYesWi-Fi VersionSupports 2.4 GHz and 5 GHz Dual BandWi-Fi HotspotYesNFCNoUSB ConnectivityYesGPS SupportYes",Battery Capacity5000 mAhBattery TypeLithium
"vivo T2x 5G (Aurora Gold, 128 GB)",4.4,"₹12,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70,Internal Storage128 GBRAM4 GBMemory Card Slot TypeHybrid SlotCall Log MemoryYes,"Operating SystemAndroid 13Processor TypeDimensity 6020Processor CoreOcta CorePrimary Clock Speed2.2 GHzOperating Frequency3G WCDMA: B1/B5/B8, 4G FDD LTE: B1/B3/B5/B8, 4G TDD LTE: B38/B40/B41 (120M), 5G: n1/n3/n8/n28A/n77/n78","Primary Camera AvailableYesPrimary Camera50MP + 2MPPrimary Camera FeaturesDual Camera Setup: 50MP (f/1.8 Aperture) + 2MP (f/2.4 Aperture), Camera Features: Photo, Night, Portrait, Video, 50 MP, Panorama, Live Photo, Slo-Mo, Timelapse, Pro, DocumentsSecondary Camera AvailableYesSecondary Camera8MP Front CameraSecondary Camera Features8MP Front Camera Setup: (f/2.0 Aperture)FlashRear FlashlightFull HD RecordingYesVideo RecordingYesDual Camera LensPrimary Camera",Display Size16.71 cm (6.58 inch)Resolution2408 x 1080 PixelsResolution TypeFull HD+Display TypeFull HD+ LCD Display,"Network Type5G, 4G, 3GSupported Networks5G, 4G LTE, WCDMAInternet Connectivity5G, 4G, 3G, Wi-Fi3GYesPre-installed BrowserYesMicro USB VersionUSB (Type C)Bluetooth SupportYesBluetooth Versionv5.1Wi-FiYesWi-Fi VersionSupports 2.4 GHz and 5 GHz Dual BandWi-Fi HotspotYesNFCNoUSB ConnectivityYesGPS SupportYes",Battery Capacity5000 mAhBattery TypeLithium
"vivo T2x 5G (Glimmer Black, 128 GB)",4.4,"₹12,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70,Internal Storage128 GBRAM4 GBMemory Card Slot TypeHybrid SlotCall Log MemoryYes,"Operating SystemAndroid 13Processor TypeDimensity 6020Processor CoreOcta CorePrimary Clock Speed2.2 GHzOperating Frequency3G WCDMA: B1/B5/B8, 4G FDD LTE: B1/B3/B5/B8, 4G TDD LTE: B38/B40/B41 (120M), 5G: n1/n3/n8/n28A/n77/n78","Primary Camera AvailableYesPrimary Camera50MP + 2MPPrimary Camera FeaturesDual Camera Setup: 50MP (f/1.8 Aperture) + 2MP (f/2.4 Aperture), Camera Features: Photo, Night, Portrait, Video, 50 MP, Panorama, Live Photo, Slo-Mo, Timelapse, Pro, DocumentsSecondary Camera AvailableYesSecondary Camera8MP Front CameraSecondary Camera Features8MP Front Camera Setup: (f/2.0 Aperture)FlashRear FlashlightFull HD RecordingYesVideo RecordingYesDual Camera LensPrimary Camera",Display Size16.71 cm (6.58 inch)Resolution2408 x 1080 PixelsResolution TypeFull HD+Display TypeFull HD+ LCD Display,"Network Type5G, 4G, 3GSupported Networks5G, 4G LTE, WCDMAInternet Connectivity5G, 4G, 3G, Wi-Fi3GYesPre-installed BrowserYesMicro USB VersionUSB (Type C)Bluetooth SupportYesBluetooth Versionv5.1Wi-FiYesWi-Fi VersionSupports 2.4 GHz and 5 GHz Dual BandWi-Fi HotspotYesNFCNoUSB ConnectivityYesGPS SupportYes",Battery Capacity5000 mAhBattery TypeLithium
"vivo T2 5G (Velocity Wave, 128 GB)",4.4,"₹18,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/s/r/-original-imagpfbtmrr7spgc.jpeg?q=70,Internal Storage128 GBRAM6 GBMemory Card Slot TypeHybrid SlotCall Log MemoryYes,"Operating SystemAndroid 13Processor TypeSnapdragon 695Processor CoreOcta CorePrimary Clock Speed2.2 GHzOperating Frequency3G WCDMA: B1/B5/B8, 4G FDD LTE: B1/B3/B5/B8, 4G TDD LTE: B38/B40/B41 (2535 MHz - 2655 MHz), 5G: n1/3/8/28A/n77 (3300 MHz - 3800 MHz)/n78","Primary Camera AvailableYesPrimary Camera64 MP (OIS) + 2MPPrimary Camera FeaturesDual Camera Setup: 64MP (f/1.79 Aperture) + 2MP (f/2.4 Aperture), Camera Features: Photo, Night, Portrait, Video, Micro Movie, 64MP, Panorama, Live Photo, Slo-Mo, Timelapse, Pro, AR Stickers, Documents, Double Exposure, Dual-View VideoSecondary Camera AvailableYesSecondary Camera16MP Front CameraSecondary Camera Features16MP Front Camera Setup: (f/2.0 Aperture)FlashRear FlashFull HD RecordingYesVideo RecordingYesDual Camera LensPrimary Camera",Display Size16.21 cm (6.38 inch)Resolution2400 x 1080 PixelsResolution TypeFull HD+Display TypeFull HD+ AMOLED Display,"Network Type5G, 4G, 3GSupported Networks5G, 4G LTE, WCDMAInternet Connectivity5G, 4G, 3G, Wi-Fi3GYesPre-installed BrowserYesMicro USB VersionUSB (Type C)Bluetooth SupportYesBluetooth Versionv5.1Wi-FiYesWi-Fi VersionSupports 2.4 GHz and 5 GHz Dual BandWi-Fi HotspotYesNFCNoUSB ConnectivityYesGPS SupportYes",Battery Capacity4500 mAhBattery TypeLithium
